Normalized-losses, Make, Fuel-type, Aspiration, Num-of-doors, Body-style, Drive-wheels, Engine-location, Wheel-base, Length, Width, Height, Curb-weight, Engine-type, Num-of-cylinders, Engine-size, Fuel-system, Bore, Stroke, Compression-ratio, Horsepower, Peak-rpm, City-mpg, Highway-mpg, Price, Symboling
168,15,1,0,1,3,2,0,94.5,168.7,64,52.6,2169,2,2,98,1,3.19,3.03,9,70,4800,29,34,8058,1
113,6,1,0,0,3,1,0,93.1,166.8,64.2,54.1,1950,2,2,91,1,3.08,3.15,9,68,5000,31,38,7395,1
87,15,1,0,1,2,1,0,95.7,158.7,63.6,54.5,1985,2,2,92,1,3.05,3.03,9,62,4800,35,39,5348,1
125,8,1,0,0,3,1,0,96.3,172.4,65.4,51.6,2365,2,2,122,1,3.35,3.46,8.5,88,5000,25,32,6989,1
194,9,1,1,1,2,2,0,91.3,170.7,67.9,49.7,3139,4,3,181,4,3.43,3.27,7.8,200,5200,17,23,19699,3
128,9,1,0,0,3,1,0,100.4,181.7,66.5,55.1,3095,4,3,181,4,3.43,3.27,9,152,5200,17,22,13499,0
161,10,0,1,0,3,2,0,107.9,186.7,68.4,56.7,3252,1,2,152,2,3.7,3.52,21,95,4150,28,33,16900,0
81,2,1,0,0,3,1,0,94.5,158.8,63.6,52,1909,2,2,90,1,3.03,3.11,9.6,70,5400,38,43,6575,0
115,6,1,0,0,3,1,0,98.8,177.8,66.5,55.5,2410,2,2,122,1,3.39,3.39,8.6,84,4800,26,32,8495,0
192,1,1,0,0,3,2,0,101.2,176.8,64.8,54.3,2395,2,2,108,4,3.5,2.8,8.8,101,5800,23,29,16925,0
168,9,1,0,1,1,1,0,95.1,162.4,63.8,53.3,2008,2,2,97,1,3.15,3.29,9.4,69,5200,31,37,8249,2
94,16,1,0,0,3,1,0,97.3,171.7,65.5,55.7,2275,2,2,109,4,3.19,3.4,9,85,5250,27,34,8495,2
161,8,1,0,1,2,1,0,93.7,157.3,64.4,50.8,1918,2,2,92,1,2.97,3.23,9.4,68,5500,37,41,5389,2
110,3,1,0,0,4,1,0,103.3,174.6,64.6,59.8,2535,2,2,122,1,3.34,3.46,8.5,88,5000,24,30,8921,-1
65,15,1,0,0,2,1,0,102.4,175.6,66.5,53.9,2458,2,2,122,4,3.31,3.54,8.7,92,4200,27,32,11248,-1
161,10,1,1,0,3,2,0,108,186.7,68.3,56,3130,1,2,134,4,3.61,3.21,7,142,5600,18,24,18150,0
125,8,1,1,0,3,1,0,96.3,172.4,65.4,51.6,2403,2,2,110,5,3.17,3.46,7.5,116,5500,23,30,9279,1
128,9,1,0,1,3,1,0,94.5,165.3,63.8,54.5,1889,2,2,97,1,3.15,3.29,9.4,69,5200,31,37,5499,1
103,9,1,0,0,4,1,0,94.5,170.2,63.8,53.5,2037,2,2,97,1,3.15,3.29,9.4,69,5200,31,37,7999,1
89,14,1,0,0,4,1,0,97,173.5,65.4,53,2455,3,2,108,4,3.62,2.64,9,94,5200,25,31,10198,0
161,10,1,0,0,3,2,0,107.9,186.7,68.4,56.7,3075,1,2,120,4,3.46,3.19,8.4,97,5000,19,24,16630,0
145,5,1,0,0,3,2,0,113,199.6,69.6,52.8,4066,0,3,258,4,3.63,4.17,8.1,176,4750,15,19,32250,0
137,4,1,0,1,2,1,0,86.6,144.6,63.9,50.8,1713,2,2,92,0,2.91,3.41,9.6,58,4800,49,54,6479,2
134,15,1,0,1,1,2,0,98.4,176.2,65.6,52,2679,2,2,146,4,3.62,3.5,9.3,116,4800,24,30,11199,2
164,0,1,0,0,3,1,0,99.8,176.6,66.2,54.3,2337,2,2,109,4,3.19,3.4,10,102,5500,24,30,13950,2
93,7,0,1,0,3,2,0,115.6,202.6,71.7,56.3,3770,2,1,183,2,3.58,3.64,21.5,123,4350,22,25,31600,-1
